Index,ID,Name,URL,Star_count,OpenIssues_count,Fork_count,created_time,Pushed_time,Update_time,Duration(>180)
171,21700699,awesome-ios,https://github.com/vsouza/awesome-ios,36240,7,6051,2014-07-10T16:03:45Z,2020-12-15T21:40:16Z,2020-12-16T17:49:53Z,YES
172,16752620,gogs,https://github.com/gogs/gogs,36050,700,4200,2014-02-12T01:57:08Z,2020-12-14T08:31:45Z,2020-12-16T20:57:45Z,YES
173,3065454,impress.js,https://github.com/impress/impress.js,36048,57,6863,2011-12-28T22:23:19Z,2020-10-25T18:20:44Z,2020-12-16T21:13:34Z,YES
175,33791743,x64dbg,https://github.com/x64dbg/x64dbg,35983,431,1489,2015-04-11T20:48:23Z,2020-12-16T03:53:28Z,2020-12-17T00:17:48Z,YES
177,9852918,Ghost,https://github.com/TryGhost/Ghost,35748,93,7795,2013-05-04T11:09:13Z,2020-12-16T19:47:39Z,2020-12-17T00:43:22Z,YES
181,15634981,godot,https://github.com/godotengine/godot,35224,5811,6661,2014-01-04T16:05:36Z,2020-12-17T00:58:19Z,2020-12-16T23:28:06Z,YES
186,22458259,Alamofire,https://github.com/Alamofire/Alamofire,34962,40,6511,2014-07-31T05:56:19Z,2020-11-04T21:40:10Z,2020-12-16T19:58:39Z,YES
188,62367558,hyper,https://github.com/vercel/hyper,34834,766,2892,2016-07-01T06:01:21Z,2020-12-16T02:25:30Z,2020-12-17T01:04:10Z,YES
190,6838921,prometheus,https://github.com/prometheus/prometheus,34363,389,5436,2012-11-24T11:14:12Z,2020-12-17T01:18:37Z,2020-12-17T01:36:02Z,YES
193,14712850,syncthing,https://github.com/syncthing/syncthing,34154,264,2872,2013-11-26T09:48:21Z,2020-12-16T16:17:17Z,2020-12-16T22:36:02Z,YES
195,11225014,etcd,https://github.com/etcd-io/etcd,33983,279,7201,2013-07-06T21:57:21Z,2020-12-15T21:13:05Z,2020-12-17T01:58:45Z,YES
196,10187082,pm2,https://github.com/Unitech/pm2,33821,338,2254,2013-05-21T03:25:25Z,2020-12-16T14:36:52Z,2020-12-16T21:14:24Z,YES
198,13807606,fzf,https://github.com/junegunn/fzf,33657,175,1419,2013-10-23T16:04:23Z,2020-12-16T12:45:31Z,2020-12-16T23:46:42Z,YES
199,114747226,faceswap,https://github.com/deepfakes/faceswap,33609,10,10413,2017-12-19T09:44:13Z,2020-12-15T22:45:32Z,2020-12-17T01:23:41Z,YES
