Account,Availability,GitHub Apps,GitHub Accounts,GitHub Actions,Functionality Notes,CI Task Assistance,Code Review Assistance,Community Management,Dependency and Security Check,Documentation,Issue and PR Management,Open Source,Bot Creation Framework,Website/Info
['nodebb-misty'],Private,False,True,False,"Continuous Intergration Enhancement
translation and backport commits",True,False,True,True,True,False,False,,https://githubmemory.com/index.php/@nodebb-misty
['nodejs-github-bot'],Private,False,True,False,"Continuous Intergration Enhancement
documentation and dependencies updates
creating branches",True,False,False,True,True,False,False,,https://githubmemory.com/index.php/@nodejs-github-bot
['npm-robot'],Private,False,True,False,"format release, push commits, closing issues
generic CI bot",True,False,False,False,True,True,False,,https://githubmemory.com/@npm-robot
['oni-bot'],Private,False,True,False,"push commits, create/delete branches",True,False,False,False,False,False,False,,https://githubmemory.com/@oni-bot
['openssl-machine'],Private,False,True,False,"Continuous Intergration Enhancement, generic repo bot
confirm test passes of PR, reminding inactive PR, CLA",True,False,True,False,False,True,False,,https://githubmemory.com/index.php/@openssl-machine
['pdfjsbot'],Private,False,True,False,"Continuous Intergration Enhancement
Create tests for various deployments",True,False,False,False,False,False,False,,https://github.com/pdfjsbot
"['pivotal-issuemaster', 'pivotal-cla']",Private,False,True,False,"Issue & PR Management
Contributor Lisence Agreement",False,False,True,False,False,True,False,,https://github.com/pivotal-issuemaster
['pr-benchmarks'],Private,True,False,False,Issue & PR Management; summary PR,False,True,False,False,False,True,False,,
['pralor-bot'],Private,False,True,False,"suggesting relevant PR/Issue or documentation
",False,False,False,False,True,True,False,,https://githubmemory.com/index.php/@pralor-bot
"['project-home-assistant', 'homeassistant']",Private,False,True,False,Generic ci bot,True,False,False,False,False,False,False,,https://github.com/home-assistant/core
['prombot'],Private,False,True,False,"sync mirrors by pull request
creating branches for various versions",True,False,False,False,False,True,True,,"https://github.com/prombot
https://github.com/vche/prombot"
['pull-bot'],Private,False,True,False,Static analysis the PR and creating warning and other messages,False,True,False,False,False,False,False,Danger,https://githubmemory.com/@pull-bot
['rc-publisher'],Private,False,True,False,Comment under the issue and PR after a stable release for reference,False,False,False,False,True,True,False,,https://githubmemory.com/@rc-publisher
